id,partOfCommunityDegree,instanceOf__taxonomyIDs,meta.organizationalLevel,review.status__id,review.log,review.reviewer__contactsID,category,topLevel__id,parent__id,meta.localId,label.fullName.de,label.fullName.en,label.short.de,label.short.en,description.de,description.en,hasHeads.literal,links.homepage.de,links.homepage.en,location.country.code,location.city,location.coords.lat,location.coords.lng,links.rorId,uniquePeopleCount.professor.physicist.female,uniquePeopleCount.seniorResearcher.physicist.female,uniquePeopleCount.postDoc.physicist.female,uniquePeopleCount.phdStudent.physicist.female,uniquePeopleCount.masterStudent.physicist.female,uniquePeopleCount.bachelorStudent.physicist.female,uniquePeopleCount.professor.physicist.male,uniquePeopleCount.professor.physicist.nonbinary,uniquePeopleCount.professor.engineer.female,uniquePeopleCount.professor.other.female,uniquePeopleCount.professor.engineer.male,uniquePeopleCount.professor.other.male,uniquePeopleCount.professor.engineer.nonbinary,uniquePeopleCount.professor.other.nonbinary,uniquePeopleCount.seniorResearcher.other.female,uniquePeopleCount.seniorResearcher.engineer.nonbinary,uniquePeopleCount.seniorResearcher.engineer.male,uniquePeopleCount.seniorResearcher.engineer.female,uniquePeopleCount.seniorResearcher.physicist.nonbinary,uniquePeopleCount.seniorResearcher.physicist.male,uniquePeopleCount.seniorResearcher.other.nonbinary,uniquePeopleCount.seniorResearcher.other.male,uniquePeopleCount.postDoc.other.nonbinary,uniquePeopleCount.postDoc.other.male,uniquePeopleCount.postDoc.other.female,uniquePeopleCount.postDoc.engineer.nonbinary,uniquePeopleCount.postDoc.engineer.male,uniquePeopleCount.postDoc.engineer.female,uniquePeopleCount.postDoc.physicist.nonbinary,uniquePeopleCount.postDoc.physicist.male,uniquePeopleCount.phdStudent.other.nonbinary,uniquePeopleCount.phdStudent.other.male,uniquePeopleCount.phdStudent.other.female,uniquePeopleCount.phdStudent.engineer.nonbinary,uniquePeopleCount.phdStudent.engineer.male,uniquePeopleCount.phdStudent.engineer.female,uniquePeopleCount.phdStudent.physicist.nonbinary,uniquePeopleCount.phdStudent.physicist.male,uniquePeopleCount.masterStudent.other.nonbinary,uniquePeopleCount.masterStudent.other.male,uniquePeopleCount.masterStudent.other.female,uniquePeopleCount.masterStudent.engineer.nonbinary,uniquePeopleCount.masterStudent.engineer.male,uniquePeopleCount.masterStudent.engineer.female,uniquePeopleCount.masterStudent.physicist.nonbinary,uniquePeopleCount.masterStudent.physicist.male,uniquePeopleCount.bachelorStudent.other.nonbinary,uniquePeopleCount.bachelorStudent.other.male,uniquePeopleCount.bachelorStudent.other.female,uniquePeopleCount.bachelorStudent.engineer.male,uniquePeopleCount.bachelorStudent.engineer.nonbinary,uniquePeopleCount.bachelorStudent.engineer.female,uniquePeopleCount.bachelorStudent.physicist.nonbinary,uniquePeopleCount.bachelorStudent.physicist.male,uniquePeopleCountSum.female,uniquePeopleCountSum.male,uniquePeopleCountSum.nonbinary,uniquePeopleCountSum.physicist,uniquePeopleCountSum.engineer,uniquePeopleCountSum.total,uniquePeopleCountSum.other,courses,uniquePeopleCountSum.professor,uniquePeopleCountSum.seniorResearcher,uniquePeopleCountSum.postDoc,uniquePeopleCountSum.phdStudent,uniquePeopleCountSum.masterStudent,uniquePeopleCountSum.bachelorStudent,operating__facilities,tagline.en,tagline.de,contacts,hasHeads.contact__contactsIDs
community/gsi/acc/sys,full,/g/organization/working-group,05 working group,01: preparation,,aßmann.ralph,hgf,community/gsi,community/gsi/acc,sys,Abteilung: System Design SIS100/SIS18,Department System Design SIS100/SIS18,ACC/SYS,ACC/SYS,,,,https://www.gsi.de/work/gesamtprojektleitung_fair/sis100sis18_sis,https://www.gsi.de/en/work/gesamtprojektleitung_fair/sis100sis18_sis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,
community/gsi/acc/vac,full,/g/organization/working-group,05 working group,01: preparation,,aßmann.ralph,hgf,community/gsi,community/gsi/acc,vac,Abteilung: Vakuumsysteme,Department: Vacuum systems,ACC/VAC,ACC/VAC,,,,,https://www.gsi.de/work/gesamtprojektleitung_fair/commons/vacuum_systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,
hgf,none,/g/organization/consortium,other,01: preparation,,,hgf,,,hgf,Helmholtz-Gemeinschaft Deutscher Forschungszentren,Helmholtz Association of German Research Centres,HGF,HGF,,,,http://www.helmholtz.de/en/,http://www.helmholtz.de/en/,DE,Berlin,52.524370,13.410530,https://ror.org/0281dp749,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,
community/hij,partial,"/g/organization/research-institution, /g/organization/formal-organization",01 formal-organisation,01: preparation,,,hgf-university,,community/,hij,Helmholtz-Institut Jena,Helmholtz Institute Jena,HIJ,HIJ,,,,https://www.hi-jena.de/en/,https://www.hi-jena.de/en/,DE,Jena,50.934556,11.580699,https://ror.org/02rzw6h69,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,"Focuses on laser plasma accelerators; collaborates with European XFEL, FAIR, and FLASH-based facilities.",<to be translated>,,
community/him,partial,"/g/organization/research-institution, /g/organization/formal-organization",01 formal-organisation,01: preparation,,,hgf-university,,community/,him,Helmholtz-Institut Mainz,Helmholtz Institute Mainz,HIM,HIM,,,,https://hi-mainz.de,https://hi-mainz.de,DE,Mainz,49.992315,8.238344,https://ror.org/024thra40,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,"Advances superconducting accelerator R&D; operates MAMI, MESA (under construction).",<to be translated>,,
community/him/acid,full,/g/organization/working-group,05 working group,01: preparation,,aulenbacher.kurt,hgf-university,community/him,community/him,acid,Abteilung: Accelerator Design and Integrated Detectors,Section: Accelerator Design and Integrated Detectors,HIM/ACID,HIM/ACID,,,,https://www.hi-mainz.de/research/research-sections/acid-accelerator-integrated-detector,https://www.hi-mainz.de/research/research-sections/acid-accelerator-integrated-detector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,aulenbacher.kurt
community/hu-berlin,full,"/g/organization/university, /g/organization/formal-organization",01 formal-organisation,01: preparation,,,university,,community/,hu-berlin,Humboldt-Universität zu Berlin,Humboldt University of Berlin ,HU Berlin,HU Berlin,,,,https://www.hu-berlin.de/?set_language=en&cl=en,https://www.hu-berlin.de/?set_language=en&cl=en,DE,Berlin,52.524370,13.410530,https://ror.org/01hcx6992,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,":hu-berlin/das_1x1_der_beschleunigerphysik, :hu-berlin/das_1x1_der_beschleunigerphysik_(übungen), :hu-berlin/physik_und_technik_moderner_teilchenbeschleuniger, :hu-berlin/physik_und_technik_moderner_teilchenbeschleuniger_(übungen)",0,0,0,0,0,0,,Researches accelerator science; based in Adlershof campus with access to joint Berlin scientific facilities.,<to be translated>,,
community/hzb,partial,"/g/organization/research-institution, /g/organization/formal-organization",01 formal-organisation,01: preparation,,,hgf,,community/,hzb,Helmholtz-Zentrum Berlin für Materialien und Energie,Helmholtz-Zentrum Berlin,HZB,HZB,,,,https://www.helmholtz-berlin.de/,https://www.helmholtz-berlin.de/,DE,Berlin,52.524370,13.410530,https://ror.org/02aj13c28,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,"berlinpro, berlin-protonen, berlin-protonen/02-sector-cyclotron, berlin-protonen/01-preaccelerator, bessy-2, bessy-3, mls, supralab, bessy-2/01-electron-gun, bessy-2/02b-linac, bessy-2/02a-racetrack-microtron, bessy-2/03-booster-synchrotron, bessy-2/04-storage-ring, bessy-2-vsr, bessy-2_1, bessy-2-plus",Develops superconducting accelerator tech; operates BESSY II synchrotron (Berlin).,<to be translated>,"jankowiak.andreas, kamps.thorsten, knobloch.jens, meseck.atoosa",
community/hzb/be,full,/g/organization/formal-organization/department,03 working group cluster,01: preparation,,jankowiak.andreas,hgf,community/hzb,community/hzb,be,Bereich: Bechleuniger,Division: Accelerators,BE,BE,,,,https://www.helmholtz-berlin.de/forschung/oe/be/index_de.html,https://www.helmholtz-berlin.de/forschung/oe/be/index_de.html,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,jankowiak.andreas
community/hzb/be/ahbb,full,/g/organization/working-group,05 working group,01: preparation,,jankowiak.andreas,hgf,community/hzb,community/hzb/be,ahbb,Abteilung: Hochbrillante Elektonenstrahlen,Department: High Brightness Beams,HBB,HBB,,,,https://www.helmholtz-berlin.de/forschung/oe/be/high-brightness-beams/index_en.html,https://www.helmholtz-berlin.de/forschung/oe/be/high-brightness-beams/index_en.html,,,,,,1,1,1,5,0,0,,,1,,1,,,,,1,1,1,1,1,,,,,,1,1,1,1,1,,,,5,5,5,5,5,,,,0,0,0,0,0,,,,0,0,0,0,0,16,15,0,22,23,45,0,,3,6,6,30,0,0,,<to be set>,<to be translated>,,kamps.thorsten
