id,partOfCommunityDegree,instanceOf__taxonomyIDs,meta.organizationalLevel,review.status__id,review.log,review.reviewer__contactsID,category,topLevel__id,parent__id,meta.localId,label.fullName.de,label.fullName.en,label.short.de,label.short.en,description.de,description.en,hasHeads.literal,links.homepage.de,links.homepage.en,location.country.code,location.city,location.coords.lat,location.coords.lng,links.rorId,uniquePeopleCount.professor.physicist.female,uniquePeopleCount.seniorResearcher.physicist.female,uniquePeopleCount.postDoc.physicist.female,uniquePeopleCount.phdStudent.physicist.female,uniquePeopleCount.masterStudent.physicist.female,uniquePeopleCount.bachelorStudent.physicist.female,uniquePeopleCount.professor.physicist.male,uniquePeopleCount.professor.physicist.nonbinary,uniquePeopleCount.professor.engineer.female,uniquePeopleCount.professor.other.female,uniquePeopleCount.professor.engineer.male,uniquePeopleCount.professor.other.male,uniquePeopleCount.professor.engineer.nonbinary,uniquePeopleCount.professor.other.nonbinary,uniquePeopleCount.seniorResearcher.other.female,uniquePeopleCount.seniorResearcher.engineer.nonbinary,uniquePeopleCount.seniorResearcher.engineer.male,uniquePeopleCount.seniorResearcher.engineer.female,uniquePeopleCount.seniorResearcher.physicist.nonbinary,uniquePeopleCount.seniorResearcher.physicist.male,uniquePeopleCount.seniorResearcher.other.nonbinary,uniquePeopleCount.seniorResearcher.other.male,uniquePeopleCount.postDoc.other.nonbinary,uniquePeopleCount.postDoc.other.male,uniquePeopleCount.postDoc.other.female,uniquePeopleCount.postDoc.engineer.nonbinary,uniquePeopleCount.postDoc.engineer.male,uniquePeopleCount.postDoc.engineer.female,uniquePeopleCount.postDoc.physicist.nonbinary,uniquePeopleCount.postDoc.physicist.male,uniquePeopleCount.phdStudent.other.nonbinary,uniquePeopleCount.phdStudent.other.male,uniquePeopleCount.phdStudent.other.female,uniquePeopleCount.phdStudent.engineer.nonbinary,uniquePeopleCount.phdStudent.engineer.male,uniquePeopleCount.phdStudent.engineer.female,uniquePeopleCount.phdStudent.physicist.nonbinary,uniquePeopleCount.phdStudent.physicist.male,uniquePeopleCount.masterStudent.other.nonbinary,uniquePeopleCount.masterStudent.other.male,uniquePeopleCount.masterStudent.other.female,uniquePeopleCount.masterStudent.engineer.nonbinary,uniquePeopleCount.masterStudent.engineer.male,uniquePeopleCount.masterStudent.engineer.female,uniquePeopleCount.masterStudent.physicist.nonbinary,uniquePeopleCount.masterStudent.physicist.male,uniquePeopleCount.bachelorStudent.other.nonbinary,uniquePeopleCount.bachelorStudent.other.male,uniquePeopleCount.bachelorStudent.other.female,uniquePeopleCount.bachelorStudent.engineer.male,uniquePeopleCount.bachelorStudent.engineer.nonbinary,uniquePeopleCount.bachelorStudent.engineer.female,uniquePeopleCount.bachelorStudent.physicist.nonbinary,uniquePeopleCount.bachelorStudent.physicist.male,uniquePeopleCountSum.female,uniquePeopleCountSum.male,uniquePeopleCountSum.nonbinary,uniquePeopleCountSum.physicist,uniquePeopleCountSum.engineer,uniquePeopleCountSum.total,uniquePeopleCountSum.other,courses,uniquePeopleCountSum.professor,uniquePeopleCountSum.seniorResearcher,uniquePeopleCountSum.postDoc,uniquePeopleCountSum.phdStudent,uniquePeopleCountSum.masterStudent,uniquePeopleCountSum.bachelorStudent,operating__facilities,tagline.en,tagline.de,contacts,hasHeads.contact__contactsIDs
community/hzb/be/apt,full,/g/organization/working-group,05 working group,01: preparation,,jankowiak.andreas,hgf,community/hzb,community/hzb/be,apt,Abteilung: Protonentherapie,Department: Protons for Therapy,PT,PT,,,Prof. Dr. Andrea Denker,https://www.helmholtz-berlin.de/forschung/oe/be/protonentherapie/index_en.html,https://www.helmholtz-berlin.de/forschung/oe/be/protonentherapie/index_en.html,,,,,,1,2,0,1,0,0,,,1,,1,,,,,2,2,2,2,2,,,,,,0,0,0,0,0,,,,1,1,1,1,1,,,,0,0,0,0,0,,,,0,0,0,0,0,8,7,0,10,11,21,0,,3,12,0,6,0,0,,<to be set>,<to be translated>,,
community/hzb/be/ia,full,/g/organization/formal-organization/sub-department,03 working group cluster,01: preparation,,jankowiak.andreas,hgf,community/hzb,community/hzb/be,ia,"Abteilung: Beschleuniger - Betrieb, Entwicklung und Technologie","Department: Accelerator Operation, Development and Technology - Operation BESSY II / MLS",IA,IA,,,,https://www.helmholtz-berlin.de/forschung/oe/be/accelerator/index_en.html,https://www.helmholtz-berlin.de/forschung/oe/be/accelerator/index_en.html,,,,,,1,1,0,0,0,0,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,5,5,15,5,,6,9,0,0,0,0,,<to be set>,<to be translated>,,jankowiak.andreas
community/hzb/be/ia/aot,full,/g/organization/working-group,05 working group,01: preparation,,jankowiak.andreas,hgf,community/hzb,community/hzb/be/ia,aot,Gruppe: Beschleunigerbetrieb und -technologie,Group: Accelerator Operation and Technology,AOT,AOT,,,Dr. Andreas Schälicke,https://www.helmholtz-berlin.de/forschung/oe/be/operation-accelerator/index_en.html,https://www.helmholtz-berlin.de/forschung/oe/be/operation-accelerator/index_en.html,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,
community/hzb/be/ia/ard,full,/g/organization/working-group,05 working group,01: preparation,,jankowiak.andreas,hgf,community/hzb,community/hzb/be/ia,ard,Gruppe: Beschleunigerforschung und -entwicklung,Group: Accelerator Operation and Technology,ARD,ARD,,,,https://www.helmholtz-berlin.de/forschung/oe/be/accelerator/index_en.html,https://www.helmholtz-berlin.de/forschung/oe/be/accelerator/index_en.html,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,jankowiak.andreas
community/hzb/be/ia/hp,full,/g/organization/working-group,05 working group,01: preparation,,jankowiak.andreas,hgf,community/hzb,community/hzb/be/ia,hp,Gruppe: Hochbrillante Photonenstrahlen,Group: High Brightness Photon Beams,HBPB,HBPB,,,,https://www.helmholtz-berlin.de/forschung/oe/be/accelerator/gia-hbpb/index_en.html,https://www.helmholtz-berlin.de/forschung/oe/be/accelerator/gia-hbpb/index_en.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,meseck.atoosa
community/hzb/be/ia/srbp,full,/g/organization/working-group,05 working group,01: preparation,,jankowiak.andreas,hgf,community/hzb,community/hzb/be/ia,srbp,Gruppe: Speicherringe und Strahlphysik,Group: Storage Rings and Beam Physics,SRBP,SRBP,,,Dr. Markus Ries,,,,,,,,0,1,0,0,0,0,,,0,,0,,,,,1,1,1,1,1,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,2,2,0,3,3,6,0,,0,6,0,0,0,0,,<to be set>,<to be translated>,,
community/hzb/be/ias,full,/g/organization/working-group,05 working group,01: preparation,,jankowiak.andreas,hgf,community/hzb,community/hzb/be,ias,Abteilung: Wissenschaft und Technologie von Beschleunigungssystemen,Department: Science and Technology of Accelerating Systems,IAS,IAS,,,,https://www.helmholtz-berlin.de/forschung/oe/be/science-technology-accelerating-systems/index_de.html,https://www.helmholtz-berlin.de/forschung/oe/be/science-technology-accelerating-systems/index_de.html,,,,,,2,1,2,5,0,0,,,2,,2,,,,,1,1,1,1,1,,,,,,2,2,2,2,2,,,,5,5,5,5,5,,,,0,0,0,0,0,,,,0,0,0,0,0,20,18,0,26,28,54,0,,6,6,12,30,0,0,,<to be set>,<to be translated>,,knobloch.jens
community/hzb/wi,partial,/g/organization/formal-organization/department,03 working group cluster,01: preparation,,jankowiak.andreas,hgf,community/hzb,community/hzb,wi,Bereich: Wissenschaftliche Instrumentierung und Unterstützung,Division: Scientific Instrumentation and Support,WI,WI,,,,https://www.helmholtz-berlin.de/forschung/oe/wi/index_en.html,https://www.helmholtz-berlin.de/forschung/oe/wi/index_en.html,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,
community/hzb/wi/aund,full,/g/organization/working-group,05 working group,01: preparation,,jankowiak.andreas,hgf,community/hzb,community/hzb/wi,aund,Gruppe: Undulatoren,Group: Undulators,UND,UND,,,,https://www.helmholtz-berlin.de/forschung/oe/wi/undulators/index_en.html,https://www.helmholtz-berlin.de/forschung/oe/wi/undulators/index_en.html,,,,,,1,1,2,0,0,0,,,1,,1,,,,,1,1,1,1,1,,,,,,2,2,2,2,2,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,8,7,0,10,11,21,0,,3,6,12,0,0,0,,<to be set>,<to be translated>,,meseck.atoosa
community/hzdr,partial,"/g/organization/research-institution, /g/organization/formal-organization",01 formal-organisation,01: preparation,,,hgf,,community/,hzdr,Helmholtz-Zentrum Dresden-Rossendorf,Helmholtz-Zentrum Dresden-Rossendorf,HZDR,HZDR,,,,https://www.hzdr.de,https://www.hzdr.de,DE,Dresden,51.050890,13.738320,https://ror.org/01zy2cs03,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,"dali, draco, elbe, hzdr-ibc",Explores ion/electron accelerator research; operates ELBE Center for High-Power Radiation Sources.,<to be translated>,"helm.manfred, kopka.klaus, krause.mechthild, schramm.ullrich",
community/hzdr/ionenstrahlphysik-materialforschung,partial,/g/organization/formal-organization/department,03 working group cluster,01: preparation,,helm.manfred,hgf,community/hzb,community/hzdr,ionenstrahlphysik-materialforschung,Institut für Ionenstrahlphysik und Materialforschung,Institute of Ion Beam Physics and Material­s Research,,,,,,https://www.hzdr.de/db/Cms?pOid=10625&pNid=141&pLang=de,https://www.hzdr.de/db/Cms?pOid=10625&pNid=141&pLang=de,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,
community/hzdr/ionenstrahlphysik-materialforschung/bmi,full,/g/organization/working-group,05 working group,01: preparation,,helm.manfred,hgf,community/hzdr,community/hzdr/ionenstrahlphysik-materialforschung,bmi,Abteilung: Beschleuniger-Massenspektrometrie und Isotopenforschung,Department: Accelerator mass spectrometry and isotope research,BMI,BMI,,,Prof. Dr. Anton Wallner,https://www.hzdr.de/db/Cms?pNid=1061,https://www.hzdr.de/db/Cms?pNid=1061,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,
community/hzdr/ionenstrahlphysik-materialforschung/ionenstrahlzentrum,full,/g/organization/working-group,05 working group,01: preparation,,helm.manfred,hgf,community/hzdr,community/hzdr/ionenstrahlphysik-materialforschung,ionenstrahlzentrum,Abteilung: Ionen­strahl­zentrum,Department: Ion beam centre,,,,,,https://www.hzdr.de/db/Cms?pNid=2689,https://www.hzdr.de/db/Cms?pNid=2689,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,
community/hzdr/radioonkologie,partial,/g/organization/formal-organization/department,03 working group cluster,01: preparation,,krause.mechthild,hgf,community/hzdr,community/hzdr,radioonkologie,Institut für Radioonkologie,Institute of Radiooncology ,,,,,,https://www.hzdr.de/db/Cms?pNid=3011,https://www.hzdr.de/db/Cms?pNid=3011,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,krause.mechthild
community/hzdr/radioonkologie/hochpraezisions-protonentherapie,full,/g/organization/working-group,05 working group,01: preparation,,krause.mechthild,hgf,community/hzdr,community/hzdr/radioonkologie,hochpraezisions-protonentherapie,Abteilung: Hochpräzisions-Protonen­therapie,Department: High-precision proton therapy,,,,, Prof. Christian Richter,https://www.hzdr.de/db/Cms?pNid=906,https://www.hzdr.de/db/Cms?pNid=906,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,
community/hzdr/radioonkologie/medizinphysik,full,/g/organization/working-group,05 working group,01: preparation,,krause.mechthild,hgf,community/hzdr,community/hzdr/radioonkologie,medizinphysik,Abteilung: Medizinische Strahlen­physik,Department: Medical radiation physics,,,,, Prof. Christian Richter,https://www.hzdr.de/db/Cms?pNid=561,https://www.hzdr.de/db/Cms?pNid=561,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,
community/hzdr/radiopharmazeutische-krebsforschung,partial,/g/organization/formal-organization/department,03 working group cluster,01: preparation,,kopka.klaus,hgf,community/hzdr,community/hzdr,radiopharmazeutische-krebsforschung,Institut für Radiopharmazeutische Krebsforschung,Institute for Radiopharmaceutical Cancer Research,,,,,,https://www.hzdr.de/db/Cms?pNid=130,https://www.hzdr.de/db/Cms?pNid=130,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,kopka.klaus
community/hzdr/radiopharmazeutische-krebsforschung/targetry,full,/g/organization/working-group,05 working group,01: preparation,,kopka.klaus,hgf,community/hzdr,community/hzdr/radiopharmazeutische-krebsforschung,targetry,"Abteilung: Targetry, Target Chemie und Radiopharmazie","Department: Targetry, target chemistry and radiopharmacy",,,,,Dr. Martin Kreller,https://www.hzdr.de/db/Cms?pNid=1778,https://www.hzdr.de/db/Cms?pNid=1778,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,
community/hzdr/strahlenphysik,full,/g/organization/formal-organization/department,03 working group cluster,01: preparation,,schramm.ullrich,hgf,community/hzdr,community/hzdr,strahlenphysik,Institut für Strahlenphysik,Institute for Radiation Physics,,,,,,https://www.hzdr.de/db/Cms?pNid=132&pLang=de,https://www.hzdr.de/db/Cms?pNid=132&pLang=de,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,"cowan.thomas, schramm.ullrich"
community/hzdr/strahlenphysik/elbe,full,/g/organization/working-group,05 working group,01: preparation,,schramm.ullrich,hgf,community/hzdr,community/hzdr/strahlenphysik,elbe,Abteilung: Strahlungsquelle ELBE,Department: Radiation Source ELBE,,,,,Dr. Andreas Wagner,https://www.hzdr.de/db/Cms?pNid=145,https://www.hzdr.de/db/Cms?pNid=145,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,
community/hzdr/strahlenphysik/hed,full,/g/organization/working-group,05 working group,01: preparation,,schramm.ullrich,hgf,community/hzdr,community/hzdr/strahlenphysik,hed,Abteilung: High Energy Density,Department: High Energy Density,,,,,,https://www.hzdr.de/db/Cms?pNid=248,https://www.hzdr.de/db/Cms?pNid=248,,,,,,0,2,6,4,0,0,,,0,,0,,,,,2,2,2,2,2,,,,,,6,6,6,6,6,,,,4,4,4,4,4,,,,0,0,0,0,0,,,,0,0,0,0,0,24,24,0,36,36,72,0,,0,12,36,24,0,0,,<to be set>,<to be translated>,,cowan.thomas
community/hzdr/strahlenphysik/hibef,full,/g/organization/formal-organization/sub-department,03 working group cluster,01: preparation,,schramm.ullrich,hgf,community/hzdr,community/hzdr/strahlenphysik,hibef,Abteilung: Helmholtz International Beamline für extreme Felder,Department: Helmholtz International Beamline for Extreme Fields,,,"Das Ziel des Helmholtz International Beamline for Extreme Fields (HIBEF) Nutzerkonsortiums ist es, verschiedene Experimente an der High Energy Density (HED) Beamline des europäischen XFEL (X-Ray Free-Electron Laser) mit weltweit einzigartigen ultrakurzen und extrem hellen Röntgenblitzen aufzubauen und zu betreiben. Sie ist als internationales Nutzerkonsortium organisiert, um das höchste wissenschaftliche und technische Niveau der zur Verfügung gestellten Anlagen zu gewährleisten, die wiederum allen Wissenschaftlern zur Verfügung stehen. Die Forschungsschwerpunkte liegen in den Bereichen Hochenergiedichtephysik, Plasmaphysik, planetare Geowissenschaften, Hochdruckphysik und Physik starker Felder, Magnetismus und korrelierte Elektronensysteme sowie Materialdynamik.","The aim of the Helmholtz International Beamline for Extreme Fields (HIBEF) user consortium is to set up and operate various experiments at the High Energy Density (HED) beamline of the European XFEL (X-Ray Free-Electron Laser) with globally unique ultrashort and extremely bright X-ray flashes. It is organised as an international user consortium to ensure the highest scientific and technical level of the facilities provided, which in turn are available to all scientists. Research focuses on high-energy density physics, plasma physics, planetary geosciences, high-pressure physics and strong field physics, magnetism and correlated electron systems as well as material dynamics.",,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,cowan.thomas
community/hzdr/strahlenphysik/hibef/bau-und-inbetriebnahme,full,/g/organization/working-group,05 working group,01: preparation,,schramm.ullrich,hgf,community/hzdr,community/hzdr/strahlenphysik/hibef,bau-und-inbetriebnahme,Abteilung: Bau und Inbetriebnahme von HIBEF,Department: Construction and commissioning of HIBEF,,,"Das Ziel des Helmholtz International Beamline for Extreme Fields (HIBEF) Nutzer Konsortiums ist der Aufbau und der Betrieb unterschiedlicher Experimente an der High Energy Density (HED) Beamline des europäischen XFEL (X-Ray Free-Electron Laser) mit weltweit einzigartigen ultrakurzen und extrem lichtstarken Röntgenblitzen. Es ist als internationales Nutzer-Konsortium organisiert, um das höchste wissenschaftliche und technische Niveau der bereitgestellten Ausrüstung zu gewährleisten, die wiederum allen Wissenschaftlern zur Verfügung stehen. Im Fokus des Interesses steht die Physik der Hochenergiedichte, die Plasmaphysik, Geowissenschaft der Planeten, Hochdruckphysik und Physik der starken Felder, Magnetismus und korrelierte Elektronensysteme sowie Dynamik von Materialien.","The aim of the Helmholtz International Beamline for Extreme Fields (HIBEF) user consortium is to set up and operate various experiments at the High Energy Density (HED) beamline of the European XFEL (X-Ray Free-Electron Laser) with worldwide unique ultrashort and extremely powerful X-ray flashes. It is organised as an international user consortium to ensure the highest scientific and technical level of the equipment provided, which in turn is available to all scientists. The focus of interest is on the physics of high energy density, plasma physics, planetary geoscience, high pressure physics and strong field physics, magnetism and correlated electron systems as well as the dynamics of materials.",PD Dr. Toma Toncian,,,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,
community/hzdr/strahlenphysik/hibef/hibef-2,full,/g/organization/working-group,05 working group,01: preparation,,schramm.ullrich,hgf,community/hzdr,community/hzdr/strahlenphysik/hibef,hibef-2,Abteilung: HIBEF 2.0,Department: HIBEF 2.0,,,,,,,,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,
community/hzdr/strahlenphysik/hibef/laser-systeme,full,/g/organization/working-group,05 working group,01: preparation,,schramm.ullrich,hgf,community/hzdr,community/hzdr/strahlenphysik/hibef,laser-systeme,HIBEF LasersystemeAbteilung: ,Department: HIBEF Laser Systems,,,,,,,,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,
community/hzdr/strahlenphysik/hibef/starkfeld-qed,full,/g/organization/working-group,05 working group,01: preparation,,schramm.ullrich,hgf,community/hzdr,community/hzdr/strahlenphysik/hibef,starkfeld-qed,Abteilung: Starkfeld-QED,Department: Strong-field QED,,,"Ein typisches Gedankenexperiment ist der Oszillatoreffekt: Wenn ein äußeres elektrisches Feld stark genug ist, um ein virtuelles Teilchen-Antiteilchen-Paar so zu trennen, dass die verrichtete Arbeit der Ruheenergie entspricht, dann wird das Paar aufgrund der Masse-Energie-Äquivalenz real. Materie könnte also aus dem Nichts erzeugt werden.","A typical thought experiment is the oscillator effect: if an external electric field is strong enough to separate a virtual particle-antiparticle pair in such a way that the work performed corresponds to the rest energy, then the pair becomes real due to the mass-energy equivalence. Matter could therefore be created out of nothing.",Dr. Hans-Peter Schlenvoigt,,,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,
community/hzdr/strahlenphysik/kernphysik,full,/g/organization/formal-organization/sub-department,03 working group cluster,01: preparation,,schramm.ullrich,hgf,community/hzdr,community/hzdr/strahlenphysik,kernphysik,Abteilung: Kernphysik,Department of Nuclear Physics,,,,,Dr. Andreas Wagner,https://www.hzdr.de/db/Cms?pNid=212,https://www.hzdr.de/db/Cms?pNid=212,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,
community/hzdr/strahlenphysik/kernphysik/detektorenentwicklung,full,/g/organization/working-group,05 working group,01: preparation,,schramm.ullrich,hgf,community/hzdr,community/hzdr/strahlenphysik/kernphysik,detektorenentwicklung,Abteilung: Detektorentwick­lung für die Grund­lagen­for­schung,Department: Detector development for basic research,,,,,Prof. Dr. Daniel Bemmerer,,,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,
community/hzdr/strahlenphysik/kernphysik/kernphysikalische-daten,full,/g/organization/working-group,05 working group,01: preparation,,schramm.ullrich,hgf,community/hzdr,community/hzdr/strahlenphysik/kernphysik,kernphysikalische-daten,Abteilung: Kernphysikalische Daten für Wissen­schaft und Technik,Department: Nuclear physics data for science and technology,,,,,Prof. Dr. Daniel Bemmerer,,,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,
community/hzdr/strahlenphysik/kernphysik/nukleare-astrophysik,full,/g/organization/working-group,05 working group,01: preparation,,schramm.ullrich,hgf,community/hzdr,community/hzdr/strahlenphysik/kernphysik,nukleare-astrophysik,Abteilung: Nukleare Astrophysik,Department: Nuclear Astrophysics,,,,,Prof. Dr. Daniel Bemmerer,,,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,
community/hzdr/strahlenphysik/kernphysik/pas,full,/g/organization/working-group,05 working group,01: preparation,,schramm.ullrich,hgf,community/hzdr,community/hzdr/strahlenphysik/kernphysik,pas,Abteilung: Posi­tronen­-Annihilations-Spektroskopie,Department: Positron annihilation spectroscopy,,,,,Dr. Andreas Wagner,,,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,
community/hzdr/strahlenphysik/laser-teilenchen-beschleunigung,full,/g/organization/formal-organization/sub-department,03 working group cluster,01: preparation,,schramm.ullrich,hgf,community/hzdr,community/hzdr/strahlenphysik,laser-teilenchen-beschleunigung,Abteilung: Laser-Teilchenbeschleunigung ,Department of Laser Particle Acceleration ,,,,,,https://www.hzdr.de/db/Cms?pNid=1483,https://www.hzdr.de/db/Cms?pNid=1483,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,schramm.ullrich
community/hzdr/strahlenphysik/laser-teilenchen-beschleunigung/anwendung,full,/g/organization/working-group,05 working group,01: preparation,,schramm.ullrich,hgf,community/hzdr,community/hzdr/strahlenphysik/laser-teilenchen-beschleunigung,anwendung,Abteilung: Anwendungs­orien­tier­te Laser-Teilchenbeschleuni­gung,Department: Application-orientated laser particle acceleration,,,,,Josefine Metzkes-Ng,,,,,,,,0,0,0,0,0,0,,,0,,0,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,<to be set>,<to be translated>,,
