id,teachingEvent__taxonomyId,university__organizationsId,studyLevels__taxonomyId,weeklySemesterHours,semesters,title.de,title.en,objectives.en,objectives.de,contents.de,contents.en,languages,partOfProgrammesOfStudy,links.homepage.de,links.homepage.en,review.status__id,review.log,review.reviewer__contactsID
community/uni-bonn/accelerator-physics-___-beschleunigerphysik-i,/g/academic-teaching/academic-teaching-event/lecture,community/uni-bonn,"/g/academic-teaching/academic-study-programme/master-degree-programme,/g/academic-teaching/academic-study-programme/bachelor-degree-programme",2,2024-1,Accelerator Physics / Beschleunigerphysik I,Accelerator Physics / Beschleunigerphysik I,,,,,en,"",,,01: preparation,,
community/uni-bonn/accelerator-physics-___-beschleunigerphysik-i,/g/academic-teaching/academic-teaching-event/lecture-exercise,community/uni-bonn,/g/academic-teaching/academic-study-programme/master-degree-programme,1,2024-1,Accelerator Physics / Beschleunigerphysik I,Accelerator Physics / Beschleunigerphysik I,,,"Das Seminar findet als Gemeinschaftsveranstaltung der Lehrstühle Experimentelle Physik I und Beschleunigerphysik statt. Die Themen sind stark an Fragestellungen der Dortmunder Elektronenspeicherringanlage DELTA orientiert. Diese Anlage auf dem Campus der Universität Dortmund ist eine lokale Synchrotronstrahlungsquelle mit 1,5 GeV Elektronenenergie. und Strahlungserzeugern im weichen  (Undulator 250, Undulator U55) und harten Röntgengebiet (supraleitender Wiggler).",,en,"",,,01: preparation,,
community/uni-bonn/advanced-accelerator-physics,/g/academic-teaching/academic-teaching-event/lecture,community/uni-bonn,/g/academic-teaching/academic-study-programme/master-degree-programme,4,2024-2,Advanced Accelerator Physics,Advanced Accelerator Physics,,,,,de,"",,,01: preparation,,
community/uni-bonn/advanced-accelerator-physics,/g/academic-teaching/academic-teaching-event/lecture-exercise,community/uni-bonn,/g/academic-teaching/academic-study-programme/master-degree-programme,1,2024-2,Advanced Accelerator Physics,Advanced Accelerator Physics,,,,,de,"",,,01: preparation,,
community/uni-frankfurt/beschleuniger-seminar,/g/academic-teaching/academic-teaching-event/proseminar,community/uni-frankfurt,/g/academic-teaching/academic-study-programme/master-degree-programme,2,2024-1,Beschleuniger-Seminar,Beschleuniger-Seminar,,,,,de,"",https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=395716&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung,,01: preparation,,
"community/uni-frankfurt/aktuelle-probleme-der-beschleuniger-,-astro--und-plasmaphysik",/g/academic-teaching/academic-teaching-event/block,community/uni-frankfurt,"/g/academic-teaching/academic-study-programme/master-degree-programme,/g/academic-teaching/academic-study-programme/bachelor-degree-programme",2,2024-1,"Aktuelle Probleme der Beschleuniger-, Astro- und Plasmaphysik","Aktuelle Probleme der Beschleuniger-, Astro- und Plasmaphysik",,,,,de,"",https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=395716&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung,,01: preparation,,
community/uni-frankfurt/einfuehrung-in-die-beschleunigerphysik-mit-exkursion-,/g/academic-teaching/academic-teaching-event/lecture,community/uni-frankfurt,"/g/academic-teaching/academic-study-programme/master-degree-programme,/g/academic-teaching/academic-study-programme/bachelor-degree-programme",2,2024-1,Einführung in die Beschleunigerphysik mit Exkursion ,Einführung in die Beschleunigerphysik mit Exkursion ,"Grundlagen der Beschleunigerphysik, Linear- und Kreisbeschleuniger Teilchendynamik, periodische Systeme, Hochfrequenzstrukturen, RFQ-Beschleuniger; Anwendungen von Beschleunigern; Synchrotronstrahlung; neue Entwicklungen",,,,de,"",https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=384065&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung,,01: preparation,,
"community/uni-frankfurt/einfuehrung-in-die-beschleunigerphysik,-uebungen-zur-vorlesung-",/g/academic-teaching/academic-teaching-event/lecture-exercise,community/uni-frankfurt,"/g/academic-teaching/academic-study-programme/master-degree-programme,/g/academic-teaching/academic-study-programme/bachelor-degree-programme",1,2024-1,"Einführung in die Beschleunigerphysik, Übungen zur Vorlesung ","Einführung in die Beschleunigerphysik, Übungen zur Vorlesung ",,,,,de,"",https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=384067&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung,,01: preparation,,
community/uni-frankfurt/high-intensity-accelerators-and-their-applications,/g/academic-teaching/academic-teaching-event/lecture,community/uni-frankfurt,"/g/academic-teaching/academic-study-programme/master-degree-programme,/g/academic-teaching/academic-study-programme/bachelor-degree-programme",2,2024-1,High Intensity Accelerators and their Applications,High Intensity Accelerators and their Applications,,,,,de,"",https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=384082&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung,,01: preparation,,
"community/uni-frankfurt/high-intensity-accelerators-and-their-applications,-uebungen-zur-vorlesung",/g/academic-teaching/academic-teaching-event/lecture-exercise,community/uni-frankfurt,"/g/academic-teaching/academic-study-programme/master-degree-programme,/g/academic-teaching/academic-study-programme/bachelor-degree-programme",1,2024-1,"High Intensity Accelerators and their Applications, Übungen zur Vorlesung","High Intensity Accelerators and their Applications, Übungen zur Vorlesung",,,,,de,"",https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=384082&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung,,01: preparation,,
community/uni-frankfurt/hochleistungsbeschleuniger-und-deren-anwendungen,/g/academic-teaching/academic-teaching-event/proseminar,community/uni-frankfurt,/g/academic-teaching/academic-study-programme/master-degree-programme,2,2024-2,Hochleistungsbeschleuniger und deren Anwendungen,Hochleistungsbeschleuniger und deren Anwendungen,,,,,de,"",https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=375814&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung,,01: preparation,,
community/uni-frankfurt/laseranwendungen-in-teilchenbeschleunigern,/g/academic-teaching/academic-teaching-event/lecture,community/uni-frankfurt,"/g/academic-teaching/academic-study-programme/master-degree-programme,/g/academic-teaching/academic-study-programme/bachelor-degree-programme",2,2024-1,Laseranwendungen in Teilchenbeschleunigern,Laseranwendungen in Teilchenbeschleunigern,,,,,de,"",https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=384085&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung,,01: preparation,,
community/uni-frankfurt/linearbeschleuniger,/g/academic-teaching/academic-teaching-event/lecture,community/uni-frankfurt,"/g/academic-teaching/academic-study-programme/master-degree-programme,/g/academic-teaching/academic-study-programme/bachelor-degree-programme",2,2024-2,Linearbeschleuniger,Linearbeschleuniger,,,,,de,"",https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=375842&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung,,01: preparation,,
"community/uni-frankfurt/linearbeschleuniger,-uebungen-zur-vorlesung",/g/academic-teaching/academic-teaching-event/lecture-exercise,community/uni-frankfurt,"/g/academic-teaching/academic-study-programme/master-degree-programme,/g/academic-teaching/academic-study-programme/bachelor-degree-programme",1,2024-2,"Linearbeschleuniger, Übungen zur Vorlesung","Linearbeschleuniger, Übungen zur Vorlesung",,,,,de,"",https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=375841&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung,,01: preparation,,
community/uni-frankfurt/ringbeschleuniger-und-speicherringe,/g/academic-teaching/academic-teaching-event/lecture,community/uni-frankfurt,"/g/academic-teaching/academic-study-programme/master-degree-programme,/g/academic-teaching/academic-study-programme/bachelor-degree-programme",2,2024-2,Ringbeschleuniger und Speicherringe,Ringbeschleuniger und Speicherringe,,,,,de,"",https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=375847&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung,,01: preparation,,
"community/uni-frankfurt/ringbeschleuniger-und-speicherringe,-uebungen-zur-vorlesung-",/g/academic-teaching/academic-teaching-event/lecture-exercise,community/uni-frankfurt,"/g/academic-teaching/academic-study-programme/master-degree-programme,/g/academic-teaching/academic-study-programme/bachelor-degree-programme",1,2024-2,"Ringbeschleuniger und Speicherringe, Übungen zur Vorlesung ","Ringbeschleuniger und Speicherringe, Übungen zur Vorlesung ",,,,,de,"",https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=375846&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung,,01: preparation,,
community/uni-frankfurt/vakuumphysik-2!-vakuumphysik-an-beschleunigern,/g/academic-teaching/academic-teaching-event/lecture,community/uni-frankfurt,"/g/academic-teaching/academic-study-programme/master-degree-programme,/g/academic-teaching/academic-study-programme/bachelor-degree-programme",2,2024-1,Vakuumphysik 2: Vakuumphysik an Beschleunigern,Vakuumphysik 2: Vakuumphysik an Beschleunigern,,,,,de,"",https://qis.server.uni-frankfurt.de/qisserver/rds?state=verpublish&status=init&vmfile=no&publishid=384079&moduleCall=webInfo&publishConfFile=webInfo&publishSubDir=veranstaltung,,01: preparation,,
community/uni-hamburg/accelerator-physics-i,/g/academic-teaching/academic-teaching-event/lecture,community/uni-hamburg,/g/academic-teaching/academic-study-programme/master-degree-programme,2,2024-1,Accelerator Physics I,Accelerator Physics I,"Studierende kennen die Grundlagen der Beschleunigerphysik und sind in der Lage, eine einfache Beschleunigeranlage in ihren Grundelementen selbst zu konzipieren und ihre Schlüsselparameter zu berechnen. Im Einzelnen: • Verständnis des Funktionsprinzips verschiedener Arten von Teilchenbeschleunigern • Konzeption und Auslegung einfacher magnetoptischer Systeme • Grundkenntnisse der Hochfrequenztechnik und -technologie an Teilchenbeschleunigern • Kenntnisse der linearen Strahldynamik in Teilchenbeschleunigern und deren Anwendung",,"Überblick über Beschleunigertypen: elektrostatische Beschleuniger und Induktionsbeschleuniger, DTL, RFQ, Alvarez, Linac, Zyklotron, Synchrotron, Mikrotron • Bauelemente von Beschleunigern: Teilchenquellen, Hochfrequenzsysteme und Beschleunigungsresonatoren, Magnete, Vakuumsysteme • Lineare Strahloptik: Bewegungsgleichungen, Matrixformalismus, Strahlparameter, Phasenraumdarstellung • Kreisbeschleuniger: periodische Magnetstrukturen, transversale und longitudinale Strahldynamik • Besichtigung von Beschleunigern auf dem DESY-Gelände (z.B. FLASH, PETRA III, HER",,en,"","https://www.stine.uni-hamburg.de/scripts/mgrqispi.dll?APPNAME=CampusNet&PRGNAME=COURSEDETAILS&ARGUMENTS=-N000000000000001,-N000605,-N0,-N390724154257520,-N390724154274521,-N0,-N0,-N3,-AcYc9PNmIef55euVwcuodrMcdVIRJrDPfeUWkPzHwvIlNmgWo7fAIcZcdWuRURMHNczWvczmJHzVdCYZAQNmTPURafjFwVMHFrqKxP-WA4UeFejcAHSD64SAfPNoDvqRQfM763WRkPYRtxgph7YmvmzGQRUmQQN56PfL8fNFFHfR9vDW57f2jPoLhCWpTmj58v-c-WQmSYgPEHS5urgokWYU0PbZIvumAHdUovSctfZP6HzLjWYadPdot4MACOIUjVuRBxfFwOQmzVgVFYYGxVq5ARzA97qe6mS5BffNjcQmwQzmqmQitf-pHWBHj4umuHuK37gmWWuUyQumaVfBNvUpmmWR34uUpQNZfxZRefUL87ZHgcUmmYWHDrMLPfNAPHZoP3SpbRoWIHZBjxWo-xzHfYoi9WDGUQZHWOzWMOUKjPNVjmfm-7QUTWUmvVUL-ffKl7NRyCWRffIU6Yzm63WmyPMU63SKarqfAvNmhHfUU4Wm6WfwK7YmCRQWjcqw6VY69vUmdfuoo3z5uRuHxvIpgVYZU7fwfcdWaOfoYHYWdcuWxrgLIRg5DxIB6RYHgxu5uYqnFQd6kYzRePdLfVBowmzRkxoLxWdZTxDaNRU5HVS53HjmNHqGsO-pt4Soq7Z5YWNGKcDGFHgpV7qHFvBwF4oUVHBGXvUH0Hz7NVSH0YzKZYoW3VDH5xzZBQUoxvQRp7YlZWSFAWWHBPUR77UBjQDHDVdZ6eq5SHtZMeqBAfdmW3IovQjmWcuLPfq5V",,01: preparation,,
community/uni-hamburg/accelerator-physics-ii,/g/academic-teaching/academic-teaching-event/lecture,community/uni-hamburg,/g/academic-teaching/academic-study-programme/master-degree-programme,4,2024-2,Accelerator Physics II,Accelerator Physics II,"Die Studierenden verstehen die wichtigsten Zusammenhänge bei Planung und Weiterentwicklung von Beschleunigeranlagen. Sie haben tiefere Einblicke in das Design und die Anwendung von modernen Beschleunigern wie zum Beispiel Synchrotronstrahlungsquellen, Hochenergie-Collidern oder Freie- Elektronen-Laser. Sie kennen die wichtigsten, die Strahlqualität und - intensität sowie die erreichbare Luminosität begrenzenden Effekte und Verfahren zur Erzeugung hochintensiver und kohärenter Röntgenstrahlen.",,"'- Synchrotronstrahlung und Strahlungsgleichgewicht - Synchrotronstrahlungsquellen - Raumladungseffekte (direkte Raumladung) - Luminostität und Kollider - Phasenraumkühlung (Stochastisches Kühlen, Elektronenkühlen) - Freie-Elektronen-Laser",,en,"","https://www.stine.uni-hamburg.de/scripts/mgrqispi.dll?APPNAME=CampusNet&PRGNAME=COURSEDETAILS&ARGUMENTS=-N000000000000001,-N000605,-N0,-N388655335332538,-N388655335306539,-N0,-N0,-N3,-AxWU0YfoleMUK3fm6HfZhOdfwRqoFvqy9YMHkmgohvdP5xucjfI5AmYZNYYZFPQfNHMooHQosWdGV4DGTO-RgOMoWVdVtRDwIQuoV4uoEcD5KR-PKOMKPcfKWQdAXHfZ9mMRd3QHtONUavYGkcNLqRMRMWdRevB6WeuUPOSoMfjej3om53uKERj5LvQcd7ZRbfq5MVDoqHkNwQu5pc-UT7D5KxSUzPDLN3BRkxqPMPNLB4MAAeU5CYIBFHDUamBDNxzKZQop5xWfNQSmWYoUwfZDdPoUemz9FcuRf4uH7vom0P-lFQB7dHDDjfDUKVULKQDKxmdZuxu5pPzHXOImyWuetPYKUYD504zLh4WKNYYG93fKofYAwOB5Vmd7ZRu76rqwZVYPBHNo9VMeN7-WvmIWm4IPQYzedmoijCWP-OBP0VqKAmSPe4Upd7NoofdmaejKFcDoTCuANVbZKeULIOdmmxQpL3BPTeZofWBwQ4U5XfdWoQqfAHzZQxgoYWffj7DVZVoD6Pu5UYUL9mfw9mo5gHQRYcQLvvYwbYuedYMo8QSPXVZUqmu5XYgRBPo5X7jfZ7qGQHQWERDAd3QoI4DWZWgRsVjeNPSWXxWHoWSnAHYwHffWlQgUvcvZLVIHvQBo3HZDN3SUAffK54IRtCfe6Pdf9YSAuWD2ZmunZfYAkcD6YPdZorMm6mdwlWZmteYH-WjKFVSl6vI5MRdVZQQiZeMRZ4WL3voLUvDnjmDNAfqwgRq9NON667DD-7MHB",,01: preparation,,
community/uni-hamburg/physik-und-anwendungen-von-laser-plasma-beschleunigern!-von-medizinischer-bildgebung-bis-hochenergiephysik,/g/academic-teaching/academic-teaching-event/lecture,community/uni-hamburg,/g/academic-teaching/academic-study-programme/master-degree-programme,4,2024-2,Physik und Anwendungen von Laser-Plasma-Beschleunigern: Von medizinischer Bildgebung bis Hochenergiephysik,Physik und Anwendungen von Laser-Plasma-Beschleunigern: Von medizinischer Bildgebung bis Hochenergiephysik,"Nach erfolgreichem Absolvieren des Moduls kennen die Studierenden die Grundlagen der sog. Plasma-Wakefield-Beschleunigung, und wissen woher die ultrahohen Feldgradienten kommen und warum die Elektronenbunche so kurz sind. Ihr Wissen kann in folgenden Bereichen angewandt werden: • Synchrotron- und Undulatorstrahlung • Freie-Elektronen-Laser (FEL) • ""table-top"" FELs getrieben von Laser-Plasma-Beschleunigern • medizinische Bildgebung mit laser-basierter Undulatorquellen",,"Neben modernen und wohl etablierten Beschleunigern entsteht ein neues Gebiet in der Beschleunigerphysik: Laser-Plasma-Beschleuniger. Sie basieren auf sog. Hochleistungslasern, die Elektronen in Plasmen von wenigen Zentimetern Länge auf GeV-Energien beschleunigen können. Diese Kompaktheit verspricht neue Anwendungen, von medizinischer Bildgebung über brillante Röntgenquellen, bis hin zur Hochenergiephysik. Wir diskutieren dabei im Detail die zugrundeliegende Physik mit Schwerpunkt auf den brillanten Röntgenquellen, insbesondere die Verknüpfung von Laser- Plasmabeschleunigern und Freien-Elektronen-Lasern.",,de,"","https://www.stine.uni-hamburg.de/scripts/mgrqispi.dll?APPNAME=CampusNet&PRGNAME=COURSEDETAILS&ARGUMENTS=-N000000000000001,-N000605,-N0,-N374105372809971,-N374105372842972,-N0,-N0,-N3,-AVSHEcYlAxfUvHUH5PucZfBKMmUp7RYZo3upMQjPjWq5bcQRV4z6dfBDNVSfdQuPDQz5WVz7wfzKhODKDQfKfQzWqWdGKcIl-cImmcuPJQ-i-WILSVWBZWWLwYIRPONRIWIpbOjljv-LmxDR84oPafBWXcjoDPzwXvU5PcMf6mDGdOfw3WIUNQSHoHIWBV-RI4YRErqKwvYK8VSfZ7UKWWB7-xN5qQuohedZ63uA0RDHgcMpeQjitWZRwPUmAcjAycQVdHkZ9rDG84S79Rq5HxZa6mYGmHqm-mzZt3fALmBRpeY5gfN2Z7f5uYBmDW-LacIRfQDyFOdLTedmPmSmpQUogYu5FcUHlrqwgQqRbxBP3rqwmHzBFYoWMWUmHYBBdmSRBCYBdxZowxDAkVfmWQfLAVzH6RoPNPDUxmUUsfQPsYfoZ3BGXVZUZRqLIYze-mvZ7xjoJfzZKcQLJeMHkfjUjQY99xZH3PQPVeY6K4uRKcMfNQgRCVZn6RNUzefojHWUbfz7-cSRZOSFwHYPJCYGhffmsOZijVWRKrgBZrD5VcDRmYSPIVD6NWuV-HfGbHvZ3xMRQ7Zp37DRSCfeFCWRPcD2-WDmMP-HCVW5ZWZopWqPf7Y6qfIWTeDPM4umCWZUM3B6LRUedxfZdVd7-OMooRDHxVDWjOuW87qHF4gfdeMHDmfGuCWDNvUoKfuKqfzP5QUpbmSmZvULtfuWBHgLtrDy-VoLlRjpbOIRbcoL3OYaAPWU7OgWAf-PXmNRC",,01: preparation,,
community/uni-mainz/beschleunigerphysik,/g/academic-teaching/academic-teaching-event/lecture,community/uni-mainz,/g/academic-teaching/academic-study-programme/master-degree-programme,4,2024-1,Beschleunigerphysik,Beschleunigerphysik,,,,,de,"","https://jogustine.uni-mainz.de/scripts/mgrqispi.dll?APPNAME=CampusNet&PRGNAME=COURSEDETAILS&ARGUMENTS=-N000000000000001,-N000851,-N0,-N389634709608989,-N389634709665990,-N0,-N0,-N3,-A3zmp7dRP7YGyRbZ7eUpsYUltWSaFYzGhcZKlQdWZvz6CPSWbOoPDcummPu5SVzHqYSoteNLyOQLLrqo3rDDNWIR8fd6u7UK0RWU0eWe6efH-3zoDWfZ-RjpjcdWbQMmuCu5tHQmUWDyZmo5XrMHWfge6eQPLmS5svDZSYq7jfqGBWMWY7ZKBVB5k7YFw7ZLEQ-cjOdwkRQeZmDRWRDH54BwvQDUbeMmtYUpQcDW5fQo9cq5tYYB9cZoVmuiwxdWocDmUeq2t7NLbHYZ87D5HxUpYHqL0RzKj7MUP7MRBxWcjVBDAOSWNPBZTOjB-CWHVcWiFOYRP3B5gxMidQMWqWdU3xUVZmB6FRI5BmgmyVZPamqmPf-oM3o7dvMRUPMD-OfU-4YZMYfnwedL-VQ5WmNHT4Yw6vDa9RZKpOZ5pQz5NVgRIWQL3mfRyCQ76Pfww4MmTPBB9cIPbWfZbCfK7VIUYQzW-PIUeR-WWRuL73z99fSLfHYZxvdP6mfHkYfW5rDK3WBPSfgLLRYUSYY7NHIRAPZRZRDHPeq6QmdN6rbZSxDPzcSAwcdmbCQLoWILHfMm0YoKsedodOS5kODZJVd7NRqe6xZPDeDUX3QlFcuLNVWPCYu76mNUPHB5wPWphHfUVxYNZWNRdmzf-eWmlOqPSYfwFYvZQOYA7eQpoPgPFOdH3WZWZfNUVHQpxmSpEcYHpOWWBPjHIvdZX3IomxzG3VfUpVgmzmUREHzAFPYmoPDKUWZPKvWpq4oKAQ-Ut",,01: preparation,,
community/uni-mainz/medizin--und-strahlenphysik,/g/academic-teaching/academic-teaching-event/proseminar,community/uni-mainz,"",2,2024-2,Medizin- und Strahlenphysik,Medizin- und Strahlenphysik,ArbeitsgruppenseminarVorl,,Strahlung und ihre WW mit menschlichem Körper / nuklearmedizinische Therapie:  * Elektromagnetisches Spektrum und Wechselwirkung mit menschlichem Körper * Ionisierende Strahlung * Produktion hochenergetischer geladener Teilchen und von Gamma-Strahlung mit Teilchenbeschleunigern * Wechselwirkung ionisierender Strahlung mit dem menschlichen Körper (normal vs. Tumor) * Messung von Strahlung * Strahlenschutz * Nuklearmedizinische Therapie Diagnostik * Grundlagen (Fourier- und Radon-Transformation) * Röntgendiagnostik * Computertomographie * Magnetresonanztomographie und –spektroskopie * Szintigraphie (SPECT & PET) * Sonographie mit Ultraschall ,,de,"",,,01: preparation,,
community/uni-mainz/spezielle-probleme-der-beschleunigerphysik-,/g/academic-teaching/academic-teaching-event/proseminar,community/uni-mainz,"",2,2024-1,Spezielle Probleme der Beschleunigerphysik ,Spezielle Probleme der Beschleunigerphysik ,Arbeitsgruppenseminar,,,,de,"","https://jogustine.uni-mainz.de/scripts/mgrqispi.dll?APPNAME=CampusNet&PRGNAME=COURSEDETAILS&ARGUMENTS=-N000000000000001,-N000851,-N0,-N387324068138993,-N387324068192994,-N0,-N0,-N3,-AON5smjRYPz6brgpoYSiZYqLaYuApRUKFfMftPMn-YDwYcWplfZHEYWKwcfUVcMLsRjiZPImxmYPjfIpdxUUZ3YPzRBZzWdV6ObZoWzmFYqRvc-RNmdcjQjm9YgLaxZRtmdVdxYHSxNmBfqFtxD5vf-HzvjUFxNoUmgoe3YLkOZPfcIWwxDPBPSoteWH9mqGVYUHE4zw9cdmuRqGAVqGvOQRh4BKBRNRdVj5uOWPMOIo-rUVtWByZHWPCQN7jWqHpOzWbfI5LOo5amBRyxYGmHjRIYzLx7vZDP-mgYMDZvI5L4bZTQzosYUK6Q-WK4B6HcBPBvZoW4QPocjpkxfUAmIpaWqKoVfGDPqK7Pg5-VUWAefHKWDL8vIWdYIRyPSoZfMKS4zmaVzwqfBRF4uPUcuosvopmWjHSWZRCxjPqPIUlfofdWoHNmZKLfBATQBATvqHIebZYWYyAYBGHVzZ-HImMx-LWQMof4fAYODPafS7jHoUvHZRAmfo0xUBjctZN3upIPQPBRumIfIU07WBwvDZgvIHBxSUNeYAgWUH-fDPqQzw63zmdQUmZeuKC7gpzQz2NeUiZxWmfQDRkcdmpfdGdeQUDW-mq4uVAcfoPeUm03oR-xfwoCuWXPDWF4oWIVdFtcZ5krqw8YYnA3IopQomEm-PtRuLSOQHQVqaZPIPS7fNwOoVwYQWXOIHIfd5Ufq5tmSctRNAIWfWuVMRZYIHoQzwJVQ7wcjKeYfWlRMRtRd5IfQHMPNWqxUUNOz6q",,01: preparation,,
community/uni-siegen/beschleunigerphysik-i,/g/academic-teaching/academic-teaching-event/lecture,community/uni-siegen,/g/academic-teaching/academic-study-programme/bachelor-degree-programme,2,2024-2,Beschleunigerphysik I,Accelerator Physics I,,,"Historie und Anwendungen der Beschleuniger
Komponenten der Beschleuniger
Hohlraumresonatoren für Beschleuniger
Magnete, Strahldiagnose, Injektionssysteme
Longitudinale Strahldynamik, Phasenfokussierung
Lineare, transversale Strahldynamik
Transportmatrizen, Twiss Parameter, Strahleigenschaften
Periodische Systeme und Strahlstabilität
Chromatische Effekte
Synchrotronstrahlung und Anwendungen, Strahlungseffekte
Praktikum: Messung/Simulation von Resonatoren, Magneten
Experimente an einem Beschleuniger
Exkursion: Besichtigung mehrerer Beschleuniger",,de,"B.A. Physics,B.Sc. Physics",https://unisono.uni-siegen.de:443/qisserver/pages/startFlow.xhtml?_flowId=detailView-flow&unitId=47598&periodId=1843,https://unisono.uni-siegen.de:443/qisserver/pages/startFlow.xhtml?_flowId=detailView-flow&unitId=47598&periodId=1843,01: preparation,,
community/uni-siegen/einfuehrung-in-die-beschleunigerphysik-ii,/g/academic-teaching/academic-teaching-event/lecture,community/uni-siegen,"/g/academic-teaching/academic-study-programme/master-degree-programme,/g/academic-teaching/academic-study-programme/bachelor-degree-programme",2,2024-1,Einführung in die Beschleunigerphysik II,Introduction to Accelerator Physics II,,,"1. Historie und Anwendungen der Beschleuniger
2. Komponenten der Beschleuniger
3. Hohlraumresonatoren für Beschleuniger
4. Magnete, Strahldiagnose, Injektionssysteme
5. Longitudinale Strahldynamik, Phasenfokussierung
6. Lineare, transversale Strahldynamik
7. Transportmatrizen, Twiss Parameter, Strahleigenschaften
8. Periodische Systeme und Strahlstabilität
9. Chromatische Effekte
10. Synchrotronstrahlung und Anwendungen, Strahlungseffekte
Praktikum: Messung/Simulation von Resonatoren, Magneten
Experimente an einem Beschleuniger
Exkursion: Besichtigung mehrerer Beschleuniger",,de,"B.Sc. Physics,B.A. Physics,M.Sc. Physics,M.Sc. Electrical Engineering,M.Sc. Materials Science and Engineering,M.Sc. Nanoscience and Nanotechnology","https://unisono.uni-siegen.de:443/qisserver/pages/startFlow.xhtml?_flowId=detailView-flow&unitId=41966&periodId=1846&navigationPosition=studiesOffered,searchCourses",https://unisono.uni-siegen.de:443/qisserver/pages/startFlow.xhtml?_flowId=detailView-flow&unitId=41966&periodId=1846,01: preparation,,
community/tu-dortmund/beschleunigerphysik-i-___-uebung,/g/academic-teaching/academic-teaching-event/lecture-exercise,community/tu-dortmund,/g/academic-teaching/academic-study-programme/bachelor-degree-programme,1,"2024-1,2024-2",Beschleunigerphysik I / Übung,Beschleunigerphysik I / Übung,,,,,de,B.Sc. Physics,https://delta.tu-dortmund.de/studium/lehrveranstaltungen/beschleunigerphysik/#/,,01: preparation,,
community/tu-dortmund/beschleunigerphysik-i-___-seminar,/g/academic-teaching/academic-teaching-event/proseminar,community/tu-dortmund,/g/academic-teaching/academic-study-programme/bachelor-degree-programme,1,2024-1,Beschleunigerphysik I / Seminar,Beschleunigerphysik I / Seminar,,,,,de,B.Sc. Physics,https://delta.tu-dortmund.de/studium/lehrveranstaltungen/beschleunigerphysik/#/,,01: preparation,,
community/tu-dortmund/beschleunigerphysik-ii-___-seminar,/g/academic-teaching/academic-teaching-event/hauptseminar,community/tu-dortmund,/g/academic-teaching/academic-study-programme/master-degree-programme,4,2024-2,Beschleunigerphysik II / Seminar,Beschleunigerphysik II / Seminar,,,,,de,"M.Sc. Physics,M.Sc. Medical Physics",https://delta.tu-dortmund.de/studium/lehrveranstaltungen/beschleunigerphysik/#/,,01: preparation,,
community/tu-dortmund/beschleunigerphysik-ii-___-uebung,/g/academic-teaching/academic-teaching-event/lecture-exercise,community/tu-dortmund,/g/academic-teaching/academic-study-programme/master-degree-programme,4,"2024-1,2024-2",Beschleunigerphysik II / Übung,Beschleunigerphysik II / Übung,,,,,de,"M.Sc. Physics,M.Sc. Medical Physics",https://delta.tu-dortmund.de/studium/lehrveranstaltungen/beschleunigerphysik/#/,,01: preparation,,
