id,parent__id,topLevel__id,partOfCommunityDegree,instanceOfs__taxonomyID,isFormalOrganization,isResearchInstitution,isUniversity,isWorkingGroup,isDepartment,category,label.fullName.de,label.fullName.en,label.short.de,label.short.en,tagline.en,tagline.de,description.de,description.en,hasHeads.literal,hasHeads.contact__contactsIDs,location.country.code,location.city,location.coords.lat,location.coords.lng,links.homepage.de,links.homepage.en,links.rorId,uniquePeopleCount.professor.physicist.female,uniquePeopleCount.professor.physicist.male,uniquePeopleCount.professor.physicist.nonbinary,uniquePeopleCount.professor.engineer.female,uniquePeopleCount.professor.engineer.male,uniquePeopleCount.professor.engineer.nonbinary,uniquePeopleCount.professor.other.female,uniquePeopleCount.professor.other.male,uniquePeopleCount.professor.other.nonbinary,uniquePeopleCount.seniorResearcher.physicist.female,uniquePeopleCount.seniorResearcher.physicist.nonbinary,uniquePeopleCount.seniorResearcher.physicist.male,uniquePeopleCount.seniorResearcher.other.female,uniquePeopleCount.seniorResearcher.other.nonbinary,uniquePeopleCount.seniorResearcher.other.male,uniquePeopleCount.seniorResearcher.engineer.nonbinary,uniquePeopleCount.seniorResearcher.engineer.male,uniquePeopleCount.seniorResearcher.engineer.female,uniquePeopleCount.postDoc.physicist.female,uniquePeopleCount.postDoc.physicist.nonbinary,uniquePeopleCount.postDoc.physicist.male,uniquePeopleCount.postDoc.other.nonbinary,uniquePeopleCount.postDoc.other.male,uniquePeopleCount.postDoc.other.female,uniquePeopleCount.postDoc.engineer.nonbinary,uniquePeopleCount.postDoc.engineer.male,uniquePeopleCount.postDoc.engineer.female,uniquePeopleCount.phdStudent.physicist.female,uniquePeopleCount.phdStudent.physicist.nonbinary,uniquePeopleCount.phdStudent.physicist.male,uniquePeopleCount.phdStudent.other.nonbinary,uniquePeopleCount.phdStudent.other.male,uniquePeopleCount.phdStudent.other.female,uniquePeopleCount.phdStudent.engineer.nonbinary,uniquePeopleCount.phdStudent.engineer.male,uniquePeopleCount.phdStudent.engineer.female,uniquePeopleCount.masterStudent.physicist.female,uniquePeopleCount.masterStudent.physicist.nonbinary,uniquePeopleCount.masterStudent.physicist.male,uniquePeopleCount.masterStudent.other.nonbinary,uniquePeopleCount.masterStudent.other.male,uniquePeopleCount.masterStudent.other.female,uniquePeopleCount.masterStudent.engineer.nonbinary,uniquePeopleCount.masterStudent.engineer.male,uniquePeopleCount.masterStudent.engineer.female,uniquePeopleCount.bachelorStudent.physicist.female,uniquePeopleCount.bachelorStudent.physicist.nonbinary,uniquePeopleCount.bachelorStudent.physicist.male,uniquePeopleCount.bachelorStudent.other.nonbinary,uniquePeopleCount.bachelorStudent.other.male,uniquePeopleCount.bachelorStudent.other.female,uniquePeopleCount.bachelorStudent.engineer.male,uniquePeopleCount.bachelorStudent.engineer.nonbinary,uniquePeopleCount.bachelorStudent.engineer.female,uniquePeopleCountSum.female,uniquePeopleCountSum.male,uniquePeopleCountSum.nonbinary,uniquePeopleCountSum.physicist,uniquePeopleCountSum.engineer,uniquePeopleCountSum.total,uniquePeopleCountSum.other,uniquePeopleCountSum.professor,uniquePeopleCountSum.seniorResearcher,uniquePeopleCountSum.postDoc,uniquePeopleCountSum.phdStudent,uniquePeopleCountSum.masterStudent,uniquePeopleCountSum.bachelorStudent,uniquePeopleCountRecursiveSum.total,uniquePeopleCountRecursiveSum.professor,uniquePeopleCountRecursiveSum.seniorResearcher,uniquePeopleCountRecursiveSum.postDoc,uniquePeopleCountRecursiveSum.phdStudent,uniquePeopleCountRecursiveSum.masterStudent,uniquePeopleCountRecursiveSum.bachelorStudent,uniquePeopleCountRecursiveSum.physicist,uniquePeopleCountRecursiveSum.engineer,uniquePeopleCountRecursiveSum.other,uniquePeopleCountRecursiveSum.female,uniquePeopleCountRecursiveSum.male,uniquePeopleCountRecursiveSum.nonbinary,review.status__id,review.log,review.reviewer__contactsID
community/desy/m/mfl,community/desy/m,community/desy,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: FLASH,Group: FLASH,DESY-MFL,DESY-MFL,<to be set>,<to be translated>,,,Mathias Vogt,"",,,,,https://flash.desy.de/,https://flash.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
community/desy/m/mhf,community/desy/m,community/desy,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Hochfrequenztechnik,Group: High-frequency technology,DESY-MHF,DESY-MHF,<to be set>,<to be translated>,,,Christos Christou,"",,,,,https://mhf.desy.de/,https://mhf.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
community/desy/m/min,community/desy/m,community/desy,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Injektion,Group: Injection,DESY-MIN,DESY-MIN,<to be set>,<to be translated>,,,Heiko Ehrlichmann,"",,,,,https://min.desy.de/,https://min.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
community/desy/m/mkk,community/desy/m,community/desy,full,/g/organization/working-group,false,false,false,true,false,hgf,"Gruppe: Kraft, Kühlung, Klima","Group: Power, Cooling, Climate",DESY-MKK,DESY-MKK,<to be set>,<to be translated>,,,Nadja von Neuhoff,"",,,,,https://mkk.desy.de/,https://mkk.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
community/desy/m/mks,community/desy/m,community/desy,full,/g/organization/working-group,false,false,false,true,false,hgf,"Gruppe: Kryogenik, Supraleitung","Group: Cryogenics, superconductivity",DESY-MKS,DESY-MKS,<to be set>,<to be translated>,,,T. Schnautz,"",,,,,https://mks.desy.de/,https://mks.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
community/desy/m/mls,community/desy/m,community/desy,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Laser für Plasmabeschleuniger,Group: Lasers for plasma accelerators,DESY-MLS,DESY-MLS,<to be set>,<to be translated>,,,Andreas Maier,"",,,,,https://mpl.desy.de/,https://mpl.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
community/desy/m/mpl,community/desy/m,community/desy,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Plasmabeschleuniger,Group: Plasma accelerators,DESY-MPL,DESY-MPA,<to be set>,<to be translated>,,,Andreas Maier,"",,,,,https://mpl.desy.de/,https://mpl.desy.de/,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,4,,4,,,,,,,2,,,,,,,,,1,,4,,,,,,,7,17,0,24,0,24,0,0,9,0,8,2,5,24,0,9,0,8,2,5,24,0,0,7,17,0,02: prereview request,,leemans.wim
community/desy/m/mpc,community/desy/m,community/desy,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Stromrichter,Group: Power converters,DESY-MPC,DESY-MPC,<to be set>,<to be translated>,,,Hans-Jörg Eckoldt,"",,,,,https://mpc.desy.de/,https://mpc.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
community/desy/m/mpe,community/desy/m,community/desy,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: PETRA III,Group: PETRA III,DESY-MPE,DESY-MPE,<to be set>,<to be translated>,,,Rainer Wanzenberg,"",,,,,https://mpe.desy.de/,https://mpe.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
community/desy/m/mps,community/desy/m,community/desy,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Personensicherheitssysteme,Group: Personal safety systems,DESY-MPS,DESY-MPS,<to be set>,<to be translated>,,,Michael Dressel,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
