id,parent__id,topLevel__id,partOfCommunityDegree,instanceOfs__taxonomyID,isFormalOrganization,isResearchInstitution,isUniversity,isWorkingGroup,isDepartment,category,label.fullName.de,label.fullName.en,label.short.de,label.short.en,tagline.en,tagline.de,description.de,description.en,hasHeads.literal,hasHeads.contact__contactsIDs,location.country.code,location.city,location.coords.lat,location.coords.lng,links.homepage.de,links.homepage.en,links.rorId,uniquePeopleCount.professor.physicist.female,uniquePeopleCount.professor.physicist.male,uniquePeopleCount.professor.physicist.nonbinary,uniquePeopleCount.professor.engineer.female,uniquePeopleCount.professor.engineer.male,uniquePeopleCount.professor.engineer.nonbinary,uniquePeopleCount.professor.other.female,uniquePeopleCount.professor.other.male,uniquePeopleCount.professor.other.nonbinary,uniquePeopleCount.seniorResearcher.physicist.female,uniquePeopleCount.seniorResearcher.physicist.nonbinary,uniquePeopleCount.seniorResearcher.physicist.male,uniquePeopleCount.seniorResearcher.other.female,uniquePeopleCount.seniorResearcher.other.nonbinary,uniquePeopleCount.seniorResearcher.other.male,uniquePeopleCount.seniorResearcher.engineer.nonbinary,uniquePeopleCount.seniorResearcher.engineer.male,uniquePeopleCount.seniorResearcher.engineer.female,uniquePeopleCount.postDoc.physicist.female,uniquePeopleCount.postDoc.physicist.nonbinary,uniquePeopleCount.postDoc.physicist.male,uniquePeopleCount.postDoc.other.nonbinary,uniquePeopleCount.postDoc.other.male,uniquePeopleCount.postDoc.other.female,uniquePeopleCount.postDoc.engineer.nonbinary,uniquePeopleCount.postDoc.engineer.male,uniquePeopleCount.postDoc.engineer.female,uniquePeopleCount.phdStudent.physicist.female,uniquePeopleCount.phdStudent.physicist.nonbinary,uniquePeopleCount.phdStudent.physicist.male,uniquePeopleCount.phdStudent.other.nonbinary,uniquePeopleCount.phdStudent.other.male,uniquePeopleCount.phdStudent.other.female,uniquePeopleCount.phdStudent.engineer.nonbinary,uniquePeopleCount.phdStudent.engineer.male,uniquePeopleCount.phdStudent.engineer.female,uniquePeopleCount.masterStudent.physicist.female,uniquePeopleCount.masterStudent.physicist.nonbinary,uniquePeopleCount.masterStudent.physicist.male,uniquePeopleCount.masterStudent.other.nonbinary,uniquePeopleCount.masterStudent.other.male,uniquePeopleCount.masterStudent.other.female,uniquePeopleCount.masterStudent.engineer.nonbinary,uniquePeopleCount.masterStudent.engineer.male,uniquePeopleCount.masterStudent.engineer.female,uniquePeopleCount.bachelorStudent.physicist.female,uniquePeopleCount.bachelorStudent.physicist.nonbinary,uniquePeopleCount.bachelorStudent.physicist.male,uniquePeopleCount.bachelorStudent.other.nonbinary,uniquePeopleCount.bachelorStudent.other.male,uniquePeopleCount.bachelorStudent.other.female,uniquePeopleCount.bachelorStudent.engineer.male,uniquePeopleCount.bachelorStudent.engineer.nonbinary,uniquePeopleCount.bachelorStudent.engineer.female,uniquePeopleCountSum.female,uniquePeopleCountSum.male,uniquePeopleCountSum.nonbinary,uniquePeopleCountSum.physicist,uniquePeopleCountSum.engineer,uniquePeopleCountSum.total,uniquePeopleCountSum.other,uniquePeopleCountSum.professor,uniquePeopleCountSum.seniorResearcher,uniquePeopleCountSum.postDoc,uniquePeopleCountSum.phdStudent,uniquePeopleCountSum.masterStudent,uniquePeopleCountSum.bachelorStudent,uniquePeopleCountRecursiveSum.total,uniquePeopleCountRecursiveSum.professor,uniquePeopleCountRecursiveSum.seniorResearcher,uniquePeopleCountRecursiveSum.postDoc,uniquePeopleCountRecursiveSum.phdStudent,uniquePeopleCountRecursiveSum.masterStudent,uniquePeopleCountRecursiveSum.bachelorStudent,uniquePeopleCountRecursiveSum.physicist,uniquePeopleCountRecursiveSum.engineer,uniquePeopleCountRecursiveSum.other,uniquePeopleCountRecursiveSum.female,uniquePeopleCountRecursiveSum.male,uniquePeopleCountRecursiveSum.nonbinary,review.status__id,review.log,review.reviewer__contactsID
community/desy/m/mpy,community/desy/m,community/desy,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Beschleunigerphysik,Group: Accelerator physics,DESY-MPY,DESY-MPY,<to be set>,<to be translated>,,,Stefan Choroba,"",,,,,https://mpy.desy.de/,https://mpy.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
community/desy/m/msk,community/desy/m,community/desy,full,/g/organization/working-group,false,false,false,true,false,hgf,Strahlkontrollen,Group: Beam controls,DESY-MSK,DESY-MSK,<to be set>,<to be translated>,,,Holger Schlarb,"",,,,,https://msk.desy.de/,https://msk.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
community/desy/m/msl,community/desy/m,community/desy,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Supraleitende Beschleunigertechnologie,Group: Superconducting accelerator technology,DESY-MSL,DESY-MSL,<to be set>,<to be translated>,,,Hans Weise,"",,,,,https://msl.desy.de/,https://msl.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
community/desy/m/mvs,community/desy/m,community/desy,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Vakuumsysteme,Group: Vacuum systems,DESY-MVS,DESY-MVS,<to be set>,<to be translated>,,,Lutz Lilje,"",,,,,https://mvs.desy.de/,https://mvs.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
community/desy/m/mxl,community/desy/m,community/desy,full,/g/organization/working-group,false,false,false,true,false,hgf,XFEL,XFEL,DESY-MXL,DESY-MXL,<to be set>,<to be translated>,,,Winfried Decking,"",,,,,https://xfel.desy.de/,https://xfel.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
community/desy/m/mbb,community/desy/m,community/desy,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe Beschleunigerbetrieb,Accelerator Operation Group,DESY-MBB,DESY-MBB,<to be set>,<to be translated>,,,"","",,,,,https://mbb.desy.de/,https://mbb.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
community/desy/m/mcs,community/desy/m,community/desy,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe Kontrollsysteme,Control Systems Group,DESY-MCS,DESY-MCS,<to be set>,<to be translated>,,,"","",,,,,https://mcs.desy.de/index_eng.html,https://mcs.desy.de/index_eng.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
community/desy/z-beschleunigerphysik,community/desy,community/desy,full,/g/organization/formal-organization/department,false,false,false,false,true,hgf,Beschleunigerphysik Zeuthen ,Accelerator Physics Zeuthen ,DESY-Z-BESCHLEUNIGER,DESY-Z-BESCHLEUNIGER,<to be set>,<to be translated>,,,"","",,,,,https://www.desy.de/forschung/beschleuniger/index_ger.html,https://www.desy.de/forschung/beschleuniger/index_ger.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
community/desy/z-beschleunigerphysik/pitz,community/desy/z-beschleunigerphysik,community/desy,full,/g/organization/working-group,false,false,false,true,false,hgf,PITZ,PITZ,DESY-ZPITZ,DESY-ZPITZ,<to be set>,<to be translated>,,,Frank Stephan,"",,,,,https://pitz.desy.de/,https://pitz.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
dfg,,,none,/g/organization/funding-orgainzation,false,false,false,false,false,funder,Deutsche Forschungsgemeinschaft,German Research Foundation,DFG,DFG,<to be set>,<to be translated>,,,"","",DE,Bonn ,50.817742,7.15908,https://www.dfg.de,https://www.dfg.de/en,https://ror.org/018mejw64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,01: preparation,,
ec,,,none,/g/organization/funding-orgainzation,false,false,false,false,false,funder,European Commission ,European Commission ,EC,EC,<to be set>,<to be translated>,,,"","",BE,Brüssel,50.845048,4.376485,https://commission.europa.eu/index_de,https://commission.europa.eu/index_en,https://ror.org/00k4n6c32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,01: preparation,,
elena,,,none,/g/organization/consortium,false,false,false,false,false,consortium,ELENA,ELENA,ELENA,ELENA,<to be set>,<to be translated>,ELENA ist eine europäische Gemeinschaft zur Förderung der Zusammenarbeit auf dem Gebiet der Neutronenquellen auf der Basis von Niedrig-Energie-Beschleunigern.,ELENA is a European community for the promotion of co-operation in the field of neutron sources based on low-energy accelerators.,"","",DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,01: preparation,,
erc,,,none,/g/organization/funding-orgainzation,false,false,false,false,false,funder,Europäischer Forschungsrat,European Research Council,ERC,ERC,<to be set>,<to be translated>,,,"","",BE,Brüssel,50.856433,4.360124,https://erc.europa.eu/homepage?etrans=de,https://erc.europa.eu/homepage,https://ror.org/0472cxd90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,01: preparation,,
community/esrf,community/,,full,"/g/organization/research-institution,/g/organization/formal-organization",true,true,false,false,false,international,European Synchrotron Radiation Facility,European Synchrotron Radiation Facility,ESRF,ESRF,Innovates with synchrotron science; operates ESRF-EBS fourth-generation storage ring.,<to be translated>,,,"","",FR,Grenoble,45.208778,5.690056,http://www.esrf.eu/,http://www.esrf.eu/,https://ror.org/02550n020,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,
community/ess,community/,,partial,"/g/organization/research-institution,/g/organization/formal-organization",true,true,false,false,false,international,Europäische Spallationsquelle,European Spallation Source,ESS,ESS,Builds new accelerator technologies; hosts the ESS neutron spallation source,<to be translated>,,,"","",SE,Lund,55.708268,13.223475,https://europeanspallationsource.se/,https://europeanspallationsource.se/,https://ror.org/01wv9cn34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,
community/eu-xfel,community/,,partial,"/g/organization/research-institution,/g/organization/formal-organization",true,true,false,false,false,international,European XFEL,European X-Ray Free-Electron Laser Facility,eu.XFEL,eu.XFEL,Develops X-ray FEL technology; operates the European XFEL ,<to be translated>,,,"","",DE,Schenefeld,54.05,9.48333,https://www.xfel.eu,https://www.xfel.eu,https://ror.org/01wp2jz98,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,
community/fair,community/,,partial,"/g/organization/research-institution,/g/organization/formal-organization",true,true,false,false,false,international,Internationale Beschleuniger-Anlage zur Forschung mit Antiprotonen und Ionen,Facility for Antiproton and Ion Research,FAIR,FAIR,Builds advanced ion/antiproton accelerators; hosts the future FAIR complex at GSI.,<to be translated>,,,"","",DE,Darmstadt,49.931389,8.679167,https://fair-center.de,https://fair-center.eu/,https://ror.org/053veeq82,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,
community/fep,community/,,partial,"/g/organization/research-institution,/g/organization/formal-organization",true,true,false,false,false,fraunhofer,Fraunhofer-Institut für Elektronenstrahl- und Plasmatechnik FEP,Fraunhofer Institute for Electron Beam and Plasma Technology FEP,FEP,FEP,Innovates electron beam/plasma tech; operates Dresden-based electron beam and plasma labs.,<to be translated>,,,"","",DE,Dresden,51.02999,13.782143,https://www.fep.fraunhofer.de,https://www.fep.fraunhofer.de,https://ror.org/03vvewn46,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,
community/fep/eb,community/fep,community/fep,full,/g/organization/formal-organization/department,false,false,false,false,true,fraunhofer,Elektronenstrahl ,Electron beam,FEP-EB,FEP-EB,<to be set>,<to be translated>,,,"","",,Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,
community/fep/eb/cebst,community/fep/eb,community/fep,full,/g/organization/working-group,false,false,false,true,false,fraunhofer,Spezielle EB-Systeme und Technologien,Customized EB Systems and Technologies,FEP-CEBST,FEP-CEBST,<to be set>,<to be translated>,,,Prof. Dr. Gösta Mattausch,"",,Dresden,,,https://www.fep.fraunhofer.de/de/Geschaeftsfelder/EST.html,https://www.fep.fraunhofer.de/en/Geschaeftsfelder/EST.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,
community/fz-juelich,community/,,partial,"/g/organization/research-institution,/g/organization/formal-organization",true,true,false,false,false,hgf,Forschungszentrum Jülich,Jülich Research Centre,FZJ,FZJ,Advances research with COSY synchrotron and hosts accelerator and nuclear physics labs.,<to be translated>,,,"","",DE,Jülich,50.92149,6.36267,https://www.fz-juelich.de,https://www.fz-juelich.de,https://ror.org/02nv7yv05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,
community/fz-juelich/jcns,community/fz-juelich,community/fz-juelich,partial,/g/organization/formal-organization/department,false,false,false,false,true,hgf,Jülich Centre for Neutron Science ,Jülich Centre for Neutron Science ,FZJ-JCNS,FZJ-JCNS,<to be set>,<to be translated>,,,"","",,,,,https://www.fz-juelich.de/de/institute/jcns,https://www.fz-juelich.de/en/institutes/jcns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,
community/fz-juelich/jcns/jcns-2,community/fz-juelich/jcns,community/fz-juelich,partial,/g/organization/formal-organization/sub-department,false,false,false,false,false,hgf,Quantenmaterialien und kollektive Phänomene,Quantum Materials and Collective Phenomena,FZJ-JCNS-2,FZJ-JCNS-2,<to be set>,<to be translated>,,,"","",,,,,https://www.fz-juelich.de/de/jcns/jcns-2,https://www.fz-juelich.de/en /jcns/jcns-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,
community/fz-juelich/jcns/jcns-2/hbs,community/fz-juelich/jcns/jcns-2,community/fz-juelich,full,/g/organization/working-group,false,false,false,true,false,hgf,High Brilliance Neutron Source,High Brilliance Neutron Source,FZJ-HBS,FZJ-HBS,<to be set>,<to be translated>,,,Paul Zakalek,"",,,,,https://www.fz-juelich.de/de/jcns/jcns-2/leistungen/high-brilliance-neutron-source,https://www.fz-juelich.de/en/jcns/jcns-2/expertise/high-brilliance-neutron-source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,
community/fz-juelich/zea,community/fz-juelich,community/fz-juelich,partial,/g/organization/formal-organization/department,false,false,false,false,true,hgf,"Zentralinstitut für Engineering, Elektronik und Analytik",Neutron research ,FZJ-ZEA,FZJ-ZEA,<to be set>,<to be translated>,,,"","",,Jülich,50.92149,6.36267,https://www.fz-juelich.de/de/institute/zea,https://www.fz-juelich.de/en/institutes/zea,https://ror.org/02nv7yv05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,
community/fz-juelich/zea/zea-1,community/fz-juelich/zea,community/fz-juelich,partial,/g/organization/formal-organization/sub-department,false,false,false,false,false,hgf,Engineering and Technology ,Engineering and Technology ,FZJ-ZEA-1,FZJ-ZEA-1,<to be set>,<to be translated>,,,"","",,Jülich,50.92149,6.36267,https://www.fz-juelich.de/de/zea/zea-1,https://www.fz-juelich.de/en/zea/zea-1,https://ror.org/02nv7yv05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,
community/fz-juelich/zea/zea-1/beschleunigerphysik,community/fz-juelich/zea/zea-1,community/fz-juelich,full,/g/organization/working-group,false,false,false,true,false,hgf,Beschleunigerphysik,Accelerator physics,FZJ-ZEA-1,FZJ-ZEA-1,<to be set>,<to be translated>,,,Dr. Frank Martin Esser,"",,,,,https://www.fz-juelich.de/de/zea/zea-1/forschung/forschungsbereiche/beschleuniger_physik,https://www.fz-juelich.de/en/zea/zea-1/science/research_areas/accelerator_physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,
community/gsi,community/,,partial,"/g/organization/research-institution,/g/organization/formal-organization",true,true,false,false,false,hgf,GSI Helmholtzzentrum für Schwerionenforschung,GSI Helmholtz Centre for Heavy Ion Research,GSI,GSI,"Develops heavy-ion accelerator research; operates UNILAC, SIS18, ESR, and hosts the FAIR complex.",<to be translated>,,,"","",DE,Darmstadt,49.87167,8.65027,https://www.gsi.de/start/aktuelles.htm,https://www.gsi.de/start/aktuelles.htm,https://ror.org/02k8cbn47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,
community/gsi/acc,community/gsi,community/gsi,full,/g/organization/formal-organization/department,false,false,false,false,true,hgf,Bereich: Beschleuniger & Betrieb,Accelerator Operations,ACC,ACC,<to be set>,<to be translated>,,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/aco,community/gsi/acc,community/gsi,full,/g/organization/formal-organization/sub-department,false,false,false,false,false,hgf,Abteilung Kontrollsysteme,Department Control systems,ACC/ACO,ACC/ACO,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/project_management_fair/commons/control-systems,https://www.gsi.de/en/work/project_management_fair/commons/control-systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/aco/app,community/gsi/acc/aco,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Applikationen,Applications Group,ACC/ACO/APP,ACC/ACO/APP,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/gesamtprojektleitung_fair/commons/control_systems/ap,https://www.gsi.de/work/gesamtprojektleitung_fair/commons/control_systems/ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/aco/fec,community/gsi/acc/aco,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Front-End Control,Front-End Control Group,ACC/ACO/FEC,ACC/ACO/FEC,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/gesamtprojektleitung_fair/commons/control_systems/fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/aco/hel,community/gsi/acc/aco,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Hardware und Elektronik ,Group Electronics,ACC/ACO/HEL,ACC/ACO/HEL,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/gesamtprojektleitung_fair/commons/control_systems/hw,https://www.gsi.de/en/work/project_management_fair/commons/control-systems/hel-group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/aco/ind,community/gsi/acc/aco,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Industrielle Steuerung ,Industrial Controls Group,ACC/ACO/IND,ACC/ACO/IND,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/gesamtprojektleitung_fair/commons/control_systems/ind,https://www.gsi.de/en/work/project_management_fair/commons/control-systems/ind-group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/aco/inn,community/gsi/acc/aco,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Netzwerke und Infrastruktur,Networks and IT-Infrastructure Group,ACC/ACO/INN,ACC/ACO/INN,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/gesamtprojektleitung_fair/commons/control_systems/in,https://www.gsi.de/en/work/project_management_fair/commons/control_systems/in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/aco/ser,community/gsi/acc/aco,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Systemdienste,System Services Group,ACC/ACO/TOS,ACC/ACO/TOS,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/gesamtprojektleitung_fair/commons/control_systems/software-services-group-ser,https://www.gsi.de/en/work/project_management_fair/commons/control-systems/ser-group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/aco/tos,community/gsi/acc/aco,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Timing,Timing Group,ACC/ACO/TOS,ACC/ACO/TOS,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/gesamtprojektleitung_fair/commons/control_systems/tg,https://www.gsi.de/en/work/gesamtprojektleitung_fair/commons/control_systems/tg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/aph,community/gsi/acc,community/gsi,full,/g/organization/formal-organization/sub-department,false,false,false,false,false,hgf,Abteilung: Beschleunigerphysik,Department Accelerator physics,ACC/APH,ACC/APH,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/gesamtprojektleitung_fair/beschleunigerphysik,https://www.gsi.de/en/work/project_management_fair/accelerator_physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/aph/ecr,community/gsi/acc/aph,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: ECR,Group: ECR,ACC/IOS/ECR,ACC/IOS/ECR,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
